campus_name,campus_location,students,community_type,campus_type,research,community,liberal_arts,religious,rating
University of Rochester,"Rochester, NY",10182,medium city,private,yes,no,no,no,5
"University California, Irvine","Irvine, CA",29000,medium city,NA,yes,no,no,no,3.5
Washington College,"Chestertown, MD",1420,very small town,NA,no,no,yes,no,3.5
Illinois State University,"Normal, IL",20000,small city,public,yes,no,no,no,4
University of Miami,"Coral Gables, FL",16397,large urban city,private,yes,no,no,no,4
University of Kentucky,"Lexington, KY",30000,medium city,public,yes,no,no,no,5
University of Wisconsin - Oshkosh,"Oshkosh, WI",14000,small city,public,no,no,no,no,4.5
Oregon State University,"Corvallis, OR",28000,small city,public,yes,no,no,no,4
North Dakota State University,"Fargo, ND",14500,medium city,public,yes,no,no,no,3.5
University at Albany - SUNY,"Albany, NY",18000,medium city,public,yes,no,no,no,5
Michigan Technological University,"Houghton, MI",7238,rural community,public,yes,no,no,no,3.5
Colby College,"Waterville, ME",2299,small town,NA,no,no,yes,no,3.5
Northern Kentucky University,"Highland Heights, KY",16000,medium city,public,no,no,no,no,5
Eckerd College,"St. Petersburg, FL",1950,medium city,private,no,no,yes,no,3
Guilford College,"Greensboro, NC",1200,medium city,private,no,no,yes,yes,5
University of North Dakota,"Grand Forks, ND",14172,small city,public,yes,no,no,no,4
University of Wisconsin - Green Bay,"Green Bay, WI",9780,medium city,public,yes,no,yes,no,5
Georgia College & State University,"Milledgeville, GA",6800,small town,public,no,no,yes,no,3
University of Pittsburgh at Bradford,"Bradford, PA",1500,rural community,NA,no,no,no,no,3.5
University of Kansas,"Lawrence, KS",28000,small city,public,yes,no,no,no,4.5
Baldwin Wallace University,"Berea, OH",3500,small town,private,no,no,no,no,4
Rochester Institute of Technology,"Rochester, NY",18897,medium city,private,yes,no,yes,no,4
University of Maine at Machias,"Machias, ME",800,rural community,public,no,no,yes,no,4.5
University of Wisconsin - Whitewater,"Whitewater, WI",12000,small town,public,no,no,no,no,4
San Francisco State University,"San Francisco, CA",29905,large urban city,public,no,no,no,no,3.5
Swarthmore College,"Swarrthmore, PA",1699,large urban city,NA,no,no,yes,no,4
University of Texas at Dallas,"Richardson, TX",27642,medium city,public,yes,no,no,no,5
Red Rocks Community College,"Lakewood, CO",4297,medium city,NA,no,yes,no,no,3.5
Colgate University,"Hamilton, NY",3228,rural community,private,no,no,yes,no,4.5
Bard College at Simon's Rock,"Great Barrington, MA",400,very small town,private,no,no,yes,no,4.5
Kent State University,"Kent, OH",28000,small city,public,yes,no,no,no,5
Purdue University,"West Lafayette, IN",49000,small city,public,yes,no,no,no,5
Kenyon College,"Gambier, OH",1730,rural community,private,no,no,yes,no,4
Widener University,"Chester, PA",6300,small city,private,yes,no,no,no,4
College of Wooster,"Wooster, OH",2000,small city,private,no,no,yes,no,4
University of Wisconsin - Milwaukee,"Milwaukee, WI, WI",23829,large urban city,public,yes,no,no,no,4.5
University of Maine at Farmington,"Farmington, ME",1800,very small town,public,no,no,yes,no,4.5
"St. John's College, Annapolis","Annapolis, MD",450,small city,private,no,no,yes,no,3.5
Drexel University,"Philadelphia, PA",14000,large urban city,private,yes,no,no,no,3.5
Southern Methodist University,"DALLAS, TX",12373,large urban city,private,yes,no,no,yes,4.5
Earlham College,"Richmond, IN",1200,small city,private,no,no,yes,yes,4.5
Southern Illinois University Carbondale,"Carbondale, IL",14000,small city,public,yes,no,no,no,5
University of Louisville,"Louisville, KY",22000,large urban city,public,yes,no,no,no,5
Wichita State University,"Wichita, KS",15000,large urban city,public,no,no,no,no,4
SUNY ROCKLAND COMMUNITY COLLEGE,"SUFFERN, NY",7500,small town,NA,no,yes,no,no,3
Adelphi University,"Garden City, NY",7859,small town,private,no,no,no,no,5
Hobart and William Smith Colleges,"Geneva, NY",2396,rural community,private,no,no,yes,no,4.5
University of Illinois Chicago,"Chicago, IL",30539,large urban city,public,yes,no,no,no,5
Metropolitan State University of Denver,"Denver, CO",21000,large urban city,public,no,no,no,no,4.5
Montserrat College of Art,"Beverly, MA",370,small city,private,no,no,yes,no,4
Harvard College,"Cambridge, MA",6500,medium city,private,no,no,yes,no,4.5
Cleveland State University,"Cleveland, OH",16000,medium city,public,yes,no,no,no,4
University of Mount Union,"Alliance, OH",2100,small town,private,no,no,no,yes,3
University of Virginia,"Charlottesville, VA",22000,small town,public,yes,no,no,no,4.5
Gonzaga University,"Spokane, WA",7450,medium city,private,no,no,no,yes,4.5
James Madison University,"Harrisonburg, VA",22000,small city,public,yes,no,no,no,4
University of the Arts,"Philadelphia, PA",1900,large urban city,private,no,no,no,no,3
Stevens Institute of Technology,"Hoboken, NJ",6825,small city,private,yes,no,no,no,4
Towson University,"Towson, MD",16517,large urban city,public,yes,no,no,no,5
Florida International University,"Miami, FL",34000,large urban city,NA,yes,no,no,no,4.5
Antioch College,"Yellow Springs, OH",125,rural community,private,no,no,yes,no,4.5
Millersville University of Pennsylvania,"Millersville, PA",7500,small city,public,no,no,no,no,3.5
Mars Hill University,"Mars Hill, NC",1000,rural community,private,no,no,yes,yes,3
Kean University,"Union, NJ",11610,small city,public,yes,no,no,no,3
The University of Findlay,"Findlay, OH",3500,small city,private,no,no,yes,no,3.5
Fort Lewis College,"Durango, CO",3443,small town,public,no,no,yes,no,4
Southwestern University,"Georgetown, TX",1500,small city,private,no,no,yes,yes,3.5
Lebanon Valley College,"Annville, PA",1651,rural community,private,no,no,yes,yes,4
University of New Hampshire-Main Campus,"Durham, NH",13000,small town,public,yes,no,no,no,4.5
Mohawk Valley Community College,"Utica, NY",5000,small city,public,no,yes,no,no,2
Bryant University,"Smithfield, RI",3287,small town,private,no,no,no,no,2
Emerson College,"Boston, MA",3783,large urban city,private,no,no,yes,no,4
Manhattan School of Music,"New York, NY",1035,large urban city,private,no,no,no,no,3
Eastern Mennonite University,"Harrisonburg, VA",1000,small city,private,no,no,yes,yes,3
Tidewater Community College,"Norfolk, VA",7028,large urban city,NA,no,yes,no,no,1.5
Art Academy of Cincinnati,"Cincinnati, OH",260,medium city,private,no,no,no,no,2.5
Joliet Junior College,"Joliet, IL",10000,small city,NA,no,yes,no,no,2.5
University of Mary Washington,"Fredericksburg, VA",4000,small city,public,no,no,yes,no,4
Gwynedd Mercy University,"Gwynedd Valley, PA",1724,small town,private,no,no,no,yes,3
Colorado College,"Colorado Springs, CO",2300,large urban city,private,no,no,no,no,2.5
University of Puget Sound,"Tacoma, WA",2200,medium city,private,no,no,yes,no,4
Virginia Wesleyan University,"Virginia Beach, VA",1750,large urban city,private,no,no,yes,yes,5
Fitchburg State University,"FITCHBURG, MA",3500,small city,public,no,no,yes,no,4.5
Juniata College,"Huntingdon, PA",1600,very small town,private,no,no,yes,yes,3
University of Michigan-Ann Arbor,"Ann Arbor, MI",46000,medium city,public,yes,no,no,no,5
Worcester State University,"Worcester, MA",4039,medium city,public,no,no,no,no,4.5
Regis College,"Weston, MA",3014,rural community,private,yes,no,no,yes,3.5
